azure-takeover-detection,"Microsoft Azure is vulnerable to subdomain takeover attacks. Subdomain takeovers are a common, high-severity threat for organizations that regularly create and delete many resources. A subdomain takeover can occur when a DNS record points to a deprovisioned Azure resource.","word
word",dsl,,,cname,"azure-api.net
           azure-mobile.net
           azurecontainer.io
           azurecr.io
           azuredatalakestore.net
           azureedge.net
           ^(vinay)
           azurefd.net
           (?i)(?:discord)(?:[0-9a-z\-_\t .]{0,20})(?:[\s|']|[\s|]){0,3}(?:=|>|:=|\|\|:|<=|=>|:)(?:'|\|\s|=|\x60){0,5}([a-z0-9=_\-]{32})(?:['|\|\n|\r|\s|\x60|;]|$)
           azurehdinsight.net
           azurewebsites.net
           azurewebsites.windows.net
           blob.core.windows.net
           cloudapp.azure.com
           cloudapp.net
           database.windows.net
           redis.cache.windows.net
           search.windows.net
           servicebus.windows.net
           trafficmanager.net
           visualstudio.com
NXDOMAIN",,high,"https://godiego.co/posts/STO/
https://docs.microsoft.com/en-us/azure/security/fundamentals/subdomain-takeover
https://cystack.net/research/subdomain-takeover-chapter-two-azure-services/",CWE-404,,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,7.2,,,"dns,takeover,azure"
caa-fingerprint,A CAA record was discovered. A CAA record is used to specify which certificate authorities (CAs) are allowed to issue certificates for a domain.,regex,regex,,,"issue (.*)'
'issuewild (.*)'
'iodef (.*)'",IN\tCAA\\t(.+)$,,info,https://support.dnsimple.com/articles/caa-record/#whats-a-caa-record,CWE-200,,,,,,"dns,caa"
detect-dangling-cname,A CNAME detect dangling condition was discovered. Most commonly this relates to failing to remove records from the zone once they are no longer needed.,"word
regex",dsl,,,cname,"NXDOMAIN
IN\tCNAME\\t(.+)$",,info," https://securitytrails.com/blog/subdomain-takeover-tips
 https://nominetcyber.com/dangling-dns-is-no-laughing-matter/
 https://nabeelxy.medium.com/dangling-dns-records-are-a-real-vulnerability-361f2a29d37f
 https://docs.microsoft.com/en-us/azure/security/fundamentals/subdomain-takeover",CWE-200,,,,,,"dns,takeover"
dmarc-detect,"|
    DNS DMARC information was detected.",regex,regex,,answer,,"IN\tTXT\\t(.+)$
IN\tTXT\t(.+)",,info,"https://dmarc.org/
https://dmarc.org/wiki/FAQ#Why_is_DMARC_important.3F",CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"dns,dmarc"
dns-saas-service-detection,A CNAME DNS record was discovered,"word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
word
regex",dsl,,"answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer",cname,"outlook.com
office.com
azure-api.net
azure.com
azure-mobile.net
azurecontainer.io
azurecr.io
azuredatalakestore.net
azureedge.net
azurefd.net
azurehdinsight.net
azurewebsites.net
azurewebsites.windows.net
blob.core.windows.net
cloudapp.azure.com
cloudapp.net
database.windows.net
redis.cache.windows.net
search.windows.net
servicebus.windows.net
visualstudio.com
-msedge.net
trafficmanager.net
zendesk.com
cname.announcekit.app
wixdns.net
akadns.net
akagtm.org
akahost.net
akam.net
akamai.com
akamai.net
akamaiedge-staging.net
akamaiedge.net
akamaientrypoint.net
akamaihd.net
akamaistream.net
akamaitech.net
akamaitechnologies.com
akamaitechnologies.fr
akamaized.net
akaquill.net
akasecure.net
akasripcn.net
edgekey.net
edgesuite.net
cloudflare.net
cloudflare-dm-cmpimg.com
cloudflare-ipfs.com
cloudflare-quic.com
cloudflare-terms-of-service-abuse.com
cloudflare.com
cloudflare.net
cloudflare.tv
cloudflareaccess.com
cloudflareclient.com
cloudflareinsights.com
cloudflareok.com
cloudflareportal.com
cloudflareresolve.com
cloudflaressl.com
cloudflarestatus.com
sn-cloudflare.com
cloudfront.net
salesforce.com
siteforce.com
force.com
amazonaws.com
elasticbeanstalk.com
awsglobalaccelerator.com
fastly.net
netlify.app
netlify.com
netlifyglobalcdn.com
vercel.app
sendgrid.net
sendgrid.com
qualtrics.com
herokuapp.com
herokucdn.com
herokudns.com
herokussl.com
herokuspace.com
gitlab.com
gitlab.io
akana.com
apiportal.akana.com
skilljarapp.com
datagrail.io
platform.sh
folloze.com
receptive.io
pendo.io
bydiscourse.com
discourse-cdn.com
discourse.cloud
discourse.org
hosted-by-discourse.com
marketo.com
marketo.co.uk
mktoweb.com
mktossl.com
mktoweb.com
marketo.com
postclickmarketing.com
rockcontent.com
rockstage.io
rocketlane.com
proxy-ssl.webflow.com
stacker.app
hs-analytics.net
hs-banner.com
hs-scripts.com
hsappstatic.net
hscollectedforms.net
hscoscdn00.net
hscoscdn10.net
hscoscdn20.net
hscoscdn30.net
hscoscdn40.net
hsforms.com
hsforms.net
hubapi.com
hubspot.com
hubspot.es
hubspot.net
hubspotemail.net
hubspotlinks.com
hubspotusercontent-na1.net
sidekickopen90.com
usemessages.com
gitbook.com
gitbook.io
fcm.googleapis.com
firebase.com
firebase.google.com
firebase.googleapis.com
firebaseapp.com
firebaseappcheck.googleapis.com
firebasedynamiclinks-ipv4.googleapis.com
firebasedynamiclinks-ipv6.googleapis.com
firebasedynamiclinks.googleapis.com
firebaseinappmessaging.googleapis.com
firebaseinstallations.googleapis.com
firebaseio.com
firebaselogging-pa.googleapis.comfirebaselogging.googleapis.com
firebaseperusertopics-pa.googleapis.com
firebaseremoteconfig.googleapis.com
zdassets.com
zdorigin.com
zendesk.com
zopim.com
incapdns.net
incapsula.com
infoprtct.com
metanetworks.com
ppe-hosted.com
pphosted.com
proofpoint.com
q4inc.com
q4ir.com
q4web.com
appspot.com
cloudfunctions.net
ghs.googlehosted.com
ghs4.googlehosted.com
ghs46.googlehosted.com
ghs6.googlehosted.com
googlehosted.com
googlehosted.l.googleusercontent.com
run.app
wpengine.com
github.com
github.io
githubusercontent.com
ghost.io
ondigitalocean.app
ontypedream.com
hs.eloqua.com
IN\tCNAME\\t(.+)$
IN\\s*CNAME\\t(.+)$



",,info,"https://ns1.com/resources/cname
https://www.theregister.com/2021/02/24/dns_cname_tracking/
https://www.ionos.com/digitalguide/hosting/technical-matters/cname-record/",,,,,,,"dns,service"
dns-waf-detect,A DNS WAF was detected.,"word
word
word
word
word
word
word
word
word
word
word
word
word
regex
regex
word
word
word
word
word
word
word
word
word
word
word",,,"answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
aliyun
aliyun-waf
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer
answer",,"
.sangfordns.com
.360panyun.com
.yunjiasu-cdn.net
.365cyd.cn
.cyudun.net
.jiashule.com
.jiasule.org
.huaweicloudwaf.com
.ngaagslb.cn
.chinacache.net
.ccgslb.net
.nscloudwaf.com
.wsssec.com
.lxdns.com
.wscdns.com
.cdn20.com
.cdn30.com
.ourplat.net
.wsdvs.com
.wsglb0.com
.wswebcdn.com
.wswebpic.com
.wsssec.com
.wscloudcdn.com
.mwcloudcdn.com
.360safedns.com
.360cloudwaf.com
.yunjiasu-cdn.net
.anquanbao.net
'\.w\.kunlun\w{2,3}\.com'
'\.aliyunddos\d+\.com'
'\.aliyunwaf\.com'
'\.aligaofang\.com'
'\.aliyundunwaf\.com'
.saaswaf.com
.dbappwaf.cn
.hwwsdns.cn
.yunduncname.com
.jiasule.net
.365cyd.net
.360wzb.com
.anquanbao.com
.chinanetcenter.com
.ns.yunjiasu.com
.chinacache.com
ns.cloudflare.com
.iidns.com
",,info,,CWE-200,,,,,,"tech,waf,dns"
dnssec-detection,Domain Name System Security Extensions (DNSSEC) are enabled. The Delegation of Signing (DS) record provides information about a signed zone file when DNSSEC enabled.,regex,,,answer,,IN\tDS\\t(.+)$,,info,"https://www.icann.org/resources/pages/dnssec-what-is-it-why-important-2019-03-05-en
https://www.cyberciti.biz/faq/unix-linux-test-and-validate-dnssec-using-dig-command-line/",CWE-200,,,,,,"dns,dnssec"
ec2-detection,Amazon Elastic Compute Cloud (EC2) detected.,,regex,,,,"ec2-[-\\d]+\\.compute[-\\d]*\\.amazonaws\\.com
ec2-[-\\d]+\\.[\\w\\d\\-]+\\.compute[-\\d]*\\.amazonaws\\.com",,info,https://blog.melbadry9.xyz/dangling-dns/aws/ddns-ec2-current-state,CWE-200,,,,,,"dns,ec2,aws"
elasticbeanstalk-takeover,"ElasticBeanstalk subdomain takeover detected. A subdomain takeover occurs when an attacker gains control over a subdomain of a target domain. Typically, this happens when the subdomain has a canonical name (CNAME) in the Domain Name System (DNS), but no host is providing content for it.","regex
word",dsl,,,cname,"CNAME\t.*\.(us|af|ap|ca|eu|me|sa|il)\-(north|east|west|south|northeast|southeast|central)\-[1-9]+\.elasticbeanstalk\.com
NXDOMAIN",,high,"https://github.com/EdOverflow/can-i-take-over-xyz/issues/147
https://twitter.com/payloadartist/status/1362035009863880711
https://www.youtube.com/watch?v=srKIqhj_ki8",CWE-404,,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,7.2,,,"dns,takeover,aws"
mx-fingerprint,An MX record was detected. MX records direct emails to a mail exchange server.,regex,regex,,answer,,"IN\tMX\\t(.+)$
IN\tMX\t(.+)",,info,"https://www.cloudflare.com/learning/dns/dns-records/dns-mx-record/
 https://mxtoolbox.com/",CWE-200,,,,,,"dns,mx"
